Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL601459,,None,503.64,2,5.22,14x,CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN(C)C)c2)CC(C)(C)c2c1[nH]c1ccccc21,EC50,'=',617,nM,6.21,,,UO_0000065,,,,,0,CHEMBL1070842,Agonist activity at human FXR-LBD expressed in HEL293 cells by Gal4-luciferase assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1156884,1,Scientific Literature,J Med Chem,2010,CHEMBL3307715,,,
CHEMBL602061,,None,545.68,1,5,14aa,CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,EC50,'=',796,nM,6.1,,,UO_0000065,,,,,0,CHEMBL1070842,Agonist activity at human FXR-LBD expressed in HEL293 cells by Gal4-luciferase assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1156884,1,Scientific Literature,J Med Chem,2010,CHEMBL3307715,,,
CHEMBL3138091,,None,541.73,2,5.63,7f,C[C@H](CCNC(=O)OCc1ccc(C(=O)O)cc1)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,EC50,'=',7110,nM,5.15,,,UO_0000065,,,,,0,CHEMBL854499,Binding affinity to FXR assessed as ligand-dependent SRC1 recruitment by FRET based co-activator assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1138887,1,Scientific Literature,J Med Chem,2006,None,,,
CHEMBL319606,,None,536.46,2,8.84,9,Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C(C)C)cc(C)c1/C=C/c1ccc(C(=O)O)cc1,EC50,'=',37,nM,7.43,,,UO_0000065,13.85,0.27,-1.41,10.24,0,CHEMBL681097,Ligand dependent recruitment of SRC1(676-700) peptide to human Farnesoid X-activated receptor by fluorescence resonance energy transfer assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1133440,1,Scientific Literature,J Med Chem,2000,None,,,
CHEMBL468110,,None,554.86,2,9.02,1aj,O=C(O)c1cccc(/C=C/c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CCC3)cc2Cl)c1,EC50,'=',140,nM,6.85,,,UO_0000065,,,,,0,CHEMBL974375,Agonist activity at human FXR transfected in african green monkey CV1 cells by luciferase reporter gene transient transfection assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308033,,,
CHEMBL468734,,None,526.02,2,5.71,1ah,CC(C)c1onc(CSc2nnnn2C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',2100,nM,5.68,,,UO_0000065,,,,,0,CHEMBL974375,Agonist activity at human FXR transfected in african green monkey CV1 cells by luciferase reporter gene transient transfection assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308033,,,
CHEMBL437481,,None,572.87,2,8.78,1z,CC(C)c1onc(COc2ccc(Cl)c(Cl)c2)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL974376,Agonist activity at human FXR assessed as SRC1 coactivator peptide recruitment by cell free FRET assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL512070,,None,554.04,2,8.63,1af,CC(C)c1onc(COc2ccc3ccccc3c2)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',930,nM,6.03,,,UO_0000065,10.89,0.21,-2.6,7.37,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL468714,,None,604.94,2,8.51,1n,CC(C)c1onc(C[S+]([O-])c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',28,nM,7.55,,,UO_0000065,12.49,0.26,-0.96,7.9,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL466233,,None,427.88,1,5.39,1h,CC(C)c1onc(CO)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'=',7800,nM,5.11,,,UO_0000065,11.94,0.23,-0.28,5.5,0,CHEMBL974378,Agonist activity at human FXR assessed as SRC1 peptide interaction with receptor ligand binding domain by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136905,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL319544,,None,508.4,2,8.02,1,Cc1cc(OCc2c(-c3c(Cl)cccc3Cl)noc2C)cc(C)c1/C=C/c1cccc(C(=O)O)c1,EC50,'=',70,nM,7.16,,,UO_0000065,14.07,0.28,-0.87,9.86,0,CHEMBL681097,Ligand dependent recruitment of SRC1(676-700) peptide to human Farnesoid X-activated receptor by fluorescence resonance energy transfer assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1133440,1,Scientific Literature,J Med Chem,2000,None,,,
CHEMBL240597,CHENODIOL,4,392.58,0,4.48,CDCA,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,EC50,'=',6310,nM,5.2,,,UO_0000065,,,,,0,CHEMBL992476,Agonist activity at FXR assessed as activation by cell based luciferase transactivation assay,F,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1142452,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,
CHEMBL192752,,None,497.51,1,6.63,38,COC(=O)/C=C/c1cccc(N(Cc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)C(=O)C(C)C)c1,EC50,'=',219,nM,6.66,,,UO_0000065,13.39,0.25,0.03,11.93,0,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1139569,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,
CHEMBL192769,,None,489.66,1,6.81,47,COC/C=C/c1cccc(N(Cc2ccc(/C=C/C(=O)OC(C)(C)C)cc2)C(=O)C2CCCCC2)c1,EC50,'=',243,nM,6.61,,,UO_0000065,13.51,0.25,-0.2,11.85,0,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1139569,1,Scientific Literature,Bioorg Med Chem Lett,2005,None,,,
CHEMBL270105,,None,390.61,1,5.75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1672465,,None,591.49,2,9.05,1t,CC(C)Oc1cc(C(=O)O)nc2ccc(-c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C(C)C)cc3)cc12,EC50,'=',40,nM,7.4,,,UO_0000065,,,,,0,CHEMBL1678687,Agonist activity at human FXR LBD assessed as SRC1 peptide recruitment by FRET assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1671792,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL3335625,,None,404.38,0,3.62,17,O=C(O)c1cccc(NC(=O)c2ccccc2NC(=O)c2ccc3c(c2)OCO3)c1,EC50,'=',10000,nM,5,,,UO_0000065,12.36,0.23,1.38,4.39,0,CHEMBL3389080,Agonist activity at human FXR expressed in human HeLa cells assessed as receptor activation by BSEP promoter-driven firefly luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL3351394,1,Scientific Literature,J Med Chem,2014,CHEMBL3308376,,,
CHEMBL3335656,,None,430.5,1,5.5,34,Cc1c(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cccc1C(=O)O,EC50,'=',42,nM,7.38,,,UO_0000065,17.14,0.31,1.88,7.72,0,CHEMBL3389080,Agonist activity at human FXR expressed in human HeLa cells assessed as receptor activation by BSEP promoter-driven firefly luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL3351394,1,Scientific Literature,J Med Chem,2014,CHEMBL3308376,,,
CHEMBL3335661,,None,446.5,1,5.2,39,COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cc1C(=O)O,EC50,'=',47,nM,7.33,,,UO_0000065,16.41,0.3,2.13,7,0,CHEMBL3389080,Agonist activity at human FXR expressed in human HeLa cells assessed as receptor activation by BSEP promoter-driven firefly luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL3351394,1,Scientific Literature,J Med Chem,2014,CHEMBL3308376,,,
CHEMBL1552,GLYCOCHENODEOXYCHOLATE,None,449.63,0,3.59,6,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,EC50,'=',3000,nM,5.52,,,UO_0000065,12.28,0.24,1.93,5.17,0,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136407,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL566930,,None,485.75,1,6.46,23,C=C(C)[C@@H]1CC[C@]2(C(=O)OCN)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,EC50,'=',0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1041790,Agonist activity at human FXR expressed in COS1 cells by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1156761,1,Scientific Literature,J Med Chem,2010,CHEMBL3308351,,,
CHEMBL571516,,None,527.79,2,5.53,29,C=C(C)[C@@H]1CC[C@]2(C(=O)N3CC(O)C3O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,EC50,'=',0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1041790,Agonist activity at human FXR expressed in COS1 cells by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,COS-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1156761,1,Scientific Literature,J Med Chem,2010,CHEMBL3308351,,,
CHEMBL1668250,,None,544.04,2,6.76,7q,O=C(NC[C@H]1CC[C@H](C(=O)O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,EC50,'=',10000,nM,5,,,UO_0000065,,,,,0,CHEMBL1670707,Agonist activity at Gal4-fused human FXR by luciferase reporter gene transactivation assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1667846,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL3138184,,None,434.66,1,5.5,4,CCC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,EC50,'=',1110,nM,5.96,,,UO_0000065,13.7,0.26,0.45,7.66,1,CHEMBL682032,Binding affinity for Farnesoid X Receptor (FXR),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1136407,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL466887,,None,546.02,2,7.27,7g,COc1ccc(Cl)c(-c2noc(C(C)C)c2COc2ccc(-c3ccc4c(C(=O)O)cn(C)c4c3)c(C)c2)n1,EC50,'=',2000,nM,5.7,,,UO_0000065,,,,,0,CHEMBL980674,Agonist activity at chimeric FXR assessed as receptor transactivation by luciferase transcriptional reporter gene assay,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1138594,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL559554,,None,532.42,2,8.87,2g,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2cc(-c3cccc(C(=O)O)c3)ccc2c1,EC50,'=',110,nM,6.96,,,UO_0000065,13.07,0.26,-1.91,9.59,0,CHEMBL1059109,Induction of SRC1 coactivator peptide binding to ligand binding domain of human FXR by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1154026,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL562011,,None,549.41,2,7.69,3e,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2c(ccn2C(=O)c2cccc(C(=O)O)c2)c1,EC50,'=',150,nM,6.82,,,UO_0000065,12.42,0.25,-0.87,7.22,0,CHEMBL1059109,Induction of SRC1 coactivator peptide binding to ligand binding domain of human FXR by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1154026,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL550070,,None,536.42,2,7.45,3g,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2c(c1)ncn2Cc1cccc(C(=O)O)c1,EC50,'=',1400,nM,5.85,,,UO_0000065,10.91,0.22,-1.6,6.48,0,CHEMBL1059109,Induction of SRC1 coactivator peptide binding to ligand binding domain of human FXR by FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1154026,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL476302,,None,532.42,2,8.87,1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL466318,,None,586.49,2,7.62,6c,CC(C)c1onc(-c2ccc(S(C)(=O)=O)cc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,EC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL980674,Agonist activity at chimeric FXR assessed as receptor transactivation by luciferase transcriptional reporter gene assay,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1138594,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,
CHEMBL520976,,None,413.43,0,3.07,1j,Cc1cccc(COc2cccc(/C=C3\C(=O)NN(C(=O)c4ccncc4)C3=O)c2)c1,EC50,'=',2400,nM,5.62,,,UO_0000065,,,,,0,CHEMBL992476,Agonist activity at FXR assessed as activation by cell based luciferase transactivation assay,F,BAO_0000219,cell-based format,None,None,None,None,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1142452,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,
CHEMBL453913,,None,406.46,0,4.64,6h,CCOC(=O)C1=CN(C(=O)c2ccc(F)cc2)CC(C)(C)c2c1[nH]c1ccccc21,EC50,'=',22,nM,7.66,,,UO_0000065,,,,,0,CHEMBL943651,Agonist activity at human FXR expressed in african green monkey CV1 cells co-expressing ECRE with RXR co-factor by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1140941,1,Scientific Literature,J Med Chem,2009,CHEMBL3308033,,,
CHEMBL507786,,None,418.49,0,4.51,6k,CCOC(=O)C1=CN(C(=O)c2ccc(OC)cc2)CC(C)(C)c2c1[nH]c1ccccc21,EC50,'=',29,nM,7.54,,,UO_0000065,,,,,0,CHEMBL943651,Agonist activity at human FXR expressed in african green monkey CV1 cells co-expressing ECRE with RXR co-factor by luciferase reporter gene assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CV-1,None,,,,CHEMBL2047,Bile acid receptor FXR,Homo sapiens,SINGLE PROTEIN,CHEMBL1140941,1,Scientific Literature,J Med Chem,2009,CHEMBL3308033,,,
